,Manufacturer,Model,Rated Power (kW),Cut-in Wind Speed (m/s),Rated Wind Speed (m/s),Cut-out Wind Speed (m/s),Rotor Diameter (m),Swept Area (m^2),Power Density 1 (W/m^2),Power Density 2 (m^2/kW),Hub Height (m),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5
0,GE Wind,GE1.7-100,1700.0,3.0,10.0,23.0,100.0,7854.0,216.5,4.6,80/96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0,195.0,303.0,424.0,545.0,687.0,829.0,1015.0,1201.0,1370.0,1535.0,1647.0,1687.0,1698.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0
1,NEG Micon,NM19,108.0,4.0,14.0,30.0,18.9,280.55,385.7,2.6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.326300050125505,3.2517488417830385,4.52957887916746,6.279451365424616,8.648830537655613,11.808445859259933,15.93717981609041,21.19146660296844,27.657614287799056,35.29458866187714,43.88837917991993,53.047917422039376,62.2625878876241,71.00954053411427,78.8664249694473,85.58135386606516,91.08060797136143,95.42905161499009,98.77312119813477,101.2901638483953,103.1542567569703,104.51827798586119,105.50761989021308,106.22062330056903,106.73210660875846,107.09781238744289,107.35866936903471,107.54442344984098,107.67653808522604,107.77042200667451,107.83709760642142,107.88442959163196,107.91801952167987,107.9418519775662,107.95875877374051,107.9707511757292
2,Endurance,E-3120,50.0,3.5,10.0,25.0,19.2,290.0,172.4,5.8,37/43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2759885274622342,3.305677839109176,4.779538258091459,6.866162058131738,9.774902088282703,13.743312203533625,19.00133599774324,25.704389913903416,33.841555886565075,43.152838796124705,53.113788799198595,63.030737196391314,72.2219848556089,80.19257582305956,86.71565888453816,91.80571710599158,95.63186840931161,98.42791878970475,100.42933407373654,101.84081513055126,102.82584874558171,103.50824780411733,103.97859040794896,104.30163670192545,104.52298026630761,104.67438884659028,104.77784168924212,104.84847318164945,104.89667072654466,104.92954793121082,104.95196908973719,104.96725700875083,104.97767991976693,104.98478543907814,104.98962916468778,104.99293093991648,104.99518157326452
3,NEG Micon,NM48,750.0,4.0,16.0,25.0,48.2,1824.0,411.2,2.4,50/60/70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,16.68,33.49,50.41,68.23,89.77,122.1,159.1,198.7,247.4,294.3,347.6,393.4,446.2,499.4,543.8,591.5,640.2,680.5,712.4,735.5,751.9,767.5,774.6,774.2,769.2,761.1,749.7,735.1,715.5,706.3,697.2,692.9,683.3,652.8,652.8,652.8
4,PowerWind,PW56-900,900.0,3.0,12.5,25.0,56.0,2463.0,365.4,2.7,59/71,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,32.0,50.0,71.0,103.0,136.0,182.0,230.0,288.0,345.0,421.0,497.0,593.0,687.0,755.0,815.0,860.0,886.0,896.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
5,Aeronautica,47-750,750.0,3.5,14.5,25.0,47.0,1735.0,432.3,2.3,50/65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,35.0,53.0,71.0,88.0,120.0,153.0,192.0,233.0,287.0,345.0,397.0,448.0,497.0,545.0,590.0,633.0,670.0,702.0,725.0,742.0,747.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
6,GE Wind,GE1.5-77,1500.0,3.5,12.0,25.0,77.0,4657.0,322.1,3.1,61.4/64.7/80/85/100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,46.33,83.0,131.0,185.0,250.0,326.0,416.0,521.0,640.0,780.0,924.0,1062.0,1181.0,1283.0,1359.0,1402.0,1436.0,1463.0,1481.0,1488.0,1494.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
7,GE Wind,GE2.7-116,2700.0,3.0,10.68,24.0,116.0,10660.0,253.3,3.9,80/90/94,0.0,0.0,0.0,0.0,0.0,0.0,71.31287275078766,111.18145573535135,171.88177741345396,262.3633347944352,393.0703082539126,573.5723457037012,807.9336102020145,1089.0129815536973,1395.7436917599814,1697.817860899381,1966.6873547058333,2185.2913340080786,2350.3153545963246,2468.0459526544996,2548.6911888279237,2602.406601512333,2637.520236299756,2660.193400633459,2674.7176120163113,2683.974307811866,2689.854684687012,2693.582508499388,2695.9426361606397,2697.4356182159568,2698.379560123042,2698.97617148251,2699.3531759338193,2699.5913770258285,2699.741865960414,2699.836935711755,2699.89699298359,2699.9349314395267,2699.9588970169466,2699.9740358526406,2699.9835988654395,2699.989639680432,2699.9934555665823,2699.995865997551
8,GE Wind,GE2.82-127,2800.0,3.0,8.0,25.0,127.0,12667.0,221.0,4.5,89/114,0.0,0.0,0.0,0.0,0.0,0.0,73.9540902600761,115.29928742925325,178.24776916950782,272.0804953423772,407.62846781887225,594.8157659149495,837.8570772465335,1129.3467956853158,1447.4379025659066,1760.7000038956544,2039.5276271023456,2266.228050082452,2437.3640714332255,2559.4550620120735,2643.0871587845136,2698.792031197975,2735.2061709775253,2758.719082138402,2773.781227276175,2783.38076365675,2789.4789322680126,2793.344823628995,2795.7923634258486,2797.340641112844,2798.3195438313032,2798.938251907788,2799.3292194869236,2799.5762428415997,2799.732305440429,2799.8308962936717,2799.893177908908,2799.9325214928426,2799.957374684241,2799.9730742175534,2799.9829914160114,2799.9892559648924,2799.9932131801593,2799.9957128863493
